Date;Location;MinTemp;MaxTemp;Rainfall;Evaporation;Sunshine;WindGustDir;WindGustSpeed;WindDir9am;WindDir3pm;WindSpeed9am;WindSpeed3pm;Humidity9am;Humidity3pm;Pressure9am;Pressure3pm;Cloud9am;Cloud3pm;Temp9am;Temp3pm;RainToday;RainTomorrow
2017-10-27;Canberra;10.88;20.91;0.0;;;S;5.14;NE;SSE;3.6;1.54;46;94;1010;1013;20;0;22.12;12.12;No;Yes
2017-10-28;Canberra;11.45;23.84;2.14;;;NNO;7.72;O;E;5.7;2.6;38;100;1009;1011;75;100;23.12;15.12;Yes;No
2017-10-29;Canberra;12.16;23.94;0.55;;;NNO;9.26;NO;N;5.14;0;46;77;1006;1006;0;0;22.12;13.12;No;Yes
2017-10-30;Canberra;8.84;20.21;1.7;;;N;10.8;O;SSO;8.8;3.6;54;93;1010;1014;75;40;12.12;6.12;Yes;Yes
2017-10-31;Canberra;4.67;16.29;4.66;;;S;6.69;S;SSE;4.63;5.14;41;61;1014;1015;75;100;15.12;9.12;Yes;No
2017-11-01;Canberra;5.5;20.26;0.0;;;S;7.72;SSE;SE;4.6;2.6;42;71;1012;1014;0;0;18.12;11.12;No;No
2017-11-02;Canberra;5.79;20.4;0.0;;;NO;6.69;O;SO;5.14;2.1;35;82;1011;1014;0;0;20.12;10.12;No;Yes
2017-11-03;Canberra;6.4;17.82;2.7;;;ONO;10.29;ONO;ONO;6.7;1;45;87;1013;1015;20;0;17.12;11.12;Yes;No
2017-11-04;Canberra;9.27;18.2;0.52;;;E;9.26;E;ESE;9.3;3.6;62;76;1017;1021;40;100;13.12;10.12;No;No
2017-11-05;Canberra;8.54;17.68;0.0;;;ENE;8.75;ENE;E;6.2;4.12;76;82;1019;1016;40;100;12.12;12.12;No;Yes
2017-11-06;Canberra;9.54;12.99;35.09;;;S;10.29;S;S;7.2;4.63;76;76;1010;1013;75;0;10.12;9.12;Yes;No
2017-11-07;Canberra;4.07;18.47;0.9;;;S;7.72;ESE;SSE;6.7;4.6;55;71;1017;1023;0;100;15.12;10.12;No;No
2017-11-08;Canberra;6.45;19.29;0.0;;;ENE;5.66;ENE;E;5.7;3.1;37;87;1024;1027;20;0;18.12;8.12;No;No
2017-11-09;Canberra;4.09;23.29;0.0;;;E;7.2;E;ESE;7.2;1;32;62;1024;1028;0;0;20.12;10.12;No;No
2017-11-10;Canberra;5.36;23.91;0.6;;;E;8.23;E;ENE;8.23;3.1;53;77;1025;1028;75;75;20.12;14.12;No;Yes
2017-11-11;Canberra;11.61;22.09;3.5;;;SSO;5.66;E;E;2.6;2.6;55;82;1025;1025;0;100;17.12;15.12;Yes;No
2017-11-12;Canberra;12.4;21.76;0.0;;;ENE;5.66;NNE;E;2.1;3.6;56;77;1022;1024;100;100;19.12;13.12;No;Yes
2017-11-13;Canberra;11.36;20.46;3.3;;;E;6.69;E;SSE;6.2;2.6;59;82;1021;1023;75;0;18.12;10.12;Yes;No
2017-11-14;Canberra;8.47;24.23;0.0;;;E;8.23;E;ENE;6.7;3.6;46;88;1018;1021;0;100;21.12;12.12;No;No
2017-11-15;Canberra;8.44;26.34;0.0;;;NE;5.66;NO;E;3.6;4.63;34;77;1014;1016;0;40;24.12;15.12;No;Yes
2017-11-16;Canberra;11.34;19.33;3.18;;;E;4.63;ESE;E;2.6;2.6;94;88;1015;1016;100;100;16.12;16.12;Yes;Yes
2017-11-17;Canberra;14.02;21.85;3.54;;;E;7.72;E;ESE;7.72;3.1;77;94;1017;1019;75;100;18.12;15.12;Yes;Yes
